variant,r_A_pre,r_delta,spearman_kind_ranking,sign_agreement,mean_A_pre
amax_14,0.9903146020308965,0.981930146492587,0.9761904761904763,0.9425742574257425,276.99734
amax_26,0.996524392452432,0.9912450326132337,1.0,0.9564356435643564,244.7254
extrap_inflate_3,0.96457245793474,0.9606898990672347,1.0,0.9574257425742574,261.3583
grid_1ft_geom,0.9301095044106783,0.8615536934881304,0.9285714285714287,0.8396039603960396,104.52545
grid_2ft_geom,0.9284010251205348,0.8545017946329325,0.9285714285714287,0.8346534653465346,106.66745
kappa_0,0.9958558430970565,0.994388632134525,1.0,0.9752475247524752,283.77588
kappa_0.2,0.9820662457355364,0.9832220301446767,1.0,0.9455445544554455,201.86586
model_kin,0.6513756291874249,0.7966049988440365,0.8333333333333335,0.8207920792079207,476.6789
model_vor,0.5556405668138031,0.3869288643323195,0.5000000000000001,0.6445544554455446,459.99203
no_extrap_inflation,0.9858245176470748,0.9934049945862362,1.0,0.9821782178217822,254.59392
perturb_positions_1,0.9982555782430141,0.9955135974206514,1.0,0.9663366336633663,255.95015
perturb_positions_2,0.998109143830532,0.995316216359833,1.0,0.9693069306930693,255.73436
perturb_positions_3,0.9980380451677898,0.9948792342537729,1.0,0.9722772277227723,255.49777
reaction_0,0.9941710179637795,0.9820784851163733,0.9285714285714287,0.9425742574257425,260.6941
reaction_0.4,0.9938399069404191,0.9835551081183348,1.0,0.9435643564356435,250.41417
reference,1.0,1.0,1.0,1.0,255.98642
sigma0_half,0.9951997256948467,0.9958108449039403,1.0,0.9801980198019802,289.89694
sigma0_x2,0.9799300210785176,0.9829418928926493,0.9761904761904763,0.9534653465346534,190.67421
smooth_lag_10,0.9997823451679783,0.9990822377842299,1.0,0.9881188118811881,255.46443
smooth_lag_2,0.9999714312514346,0.9998787265047928,1.0,0.995049504950495,256.17645
tau_0.3,0.9814359998318027,0.9707678722454041,0.9761904761904763,0.9237623762376238,476.4729
tau_0.7,0.9774972003051019,0.9666772701381418,1.0,0.907920792079208,116.60896
value_geom,0.9301095044106783,0.8615536934881304,0.9285714285714287,0.8396039603960396,104.52545
vmax_17,0.9962511402292544,0.9937334689477478,1.0,0.9693069306930693,261.574
vmax_23,0.9980142835831338,0.9966189017328423,1.0,0.9702970297029703,253.65732
